wl val
190.000000 0.221849
195.000000 0.144398
200.000000 0.372350
205.000000 1.098152
210.000000 1.719292
215.000000 2.213913
220.000000 2.687041
225.000000 3.110327
230.000000 3.416454
235.000000 3.528531
240.000000 3.333722
245.000000 3.266135
250.000000 3.317905
255.000000 2.778139
260.000000 1.930334
265.000000 1.348219
270.000000 0.976011
275.000000 0.729040
280.000000 0.558918
285.000000 0.437878
290.000000 0.345318
295.000000 0.268564
300.000000 0.206006
305.000000 0.156220
310.000000 0.119666
315.000000 0.094948
320.000000 0.078703
325.000000 0.067243
330.000000 0.057358
335.000000 0.049189
340.000000 0.041473
345.000000 0.033552
350.000000 0.027011
355.000000 0.022766
360.000000 0.020409
365.000000 0.019252
370.000000 0.018666
375.000000 0.017932
380.000000 0.017255
385.000000 0.017020
390.000000 0.017139
395.000000 0.017085
400.000000 0.016497
405.000000 0.016220
410.000000 0.016370
415.000000 0.016393
420.000000 0.017240
425.000000 0.019245
430.000000 0.021974
435.000000 0.025223
440.000000 0.029386
445.000000 0.036046
450.000000 0.045662
455.000000 0.059076
460.000000 0.077659
465.000000 0.098845
470.000000 0.117574
475.000000 0.133915
480.000000 0.154001
485.000000 0.185276
490.000000 0.231037
495.000000 0.279222
500.000000 0.315014
505.000000 0.321950
510.000000 0.285587
515.000000 0.216888
520.000000 0.142414
525.000000 0.083785
530.000000 0.046979
535.000000 0.026633
540.000000 0.016110
545.000000 0.011381
550.000000 0.008983
555.000000 0.008326
560.000000 0.009524
565.000000 0.011034
570.000000 0.013080
575.000000 0.016191
580.000000 0.019498
585.000000 0.023010
590.000000 0.026977
595.000000 0.031366
600.000000 0.036926
605.000000 0.043489
610.000000 0.050353
615.000000 0.057832
620.000000 0.065978
625.000000 0.076996
630.000000 0.089634
635.000000 0.101037
640.000000 0.113043
645.000000 0.125179
650.000000 0.137639
655.000000 0.152487
660.000000 0.168541
665.000000 0.184456
670.000000 0.201395
675.000000 0.217902
680.000000 0.235218
685.000000 0.251387
690.000000 0.265893
695.000000 0.283375
700.000000 0.302805
705.000000 0.321887
710.000000 0.338855
715.000000 0.354785
720.000000 0.370022
725.000000 0.384640
730.000000 0.399247
735.000000 0.412945
740.000000 0.424916
745.000000 0.437955
750.000000 0.449887
755.000000 0.459370
760.000000 0.466448
765.000000 0.469781
770.000000 0.472441
775.000000 0.475697
780.000000 0.479320
785.000000 0.481466
790.000000 0.483828
795.000000 0.486648
800.000000 0.487082
805.000000 0.489763
810.000000 0.495842
815.000000 0.496691
820.000000 0.494817
825.000000 0.487273
830.000000 0.475742
835.000000 0.468451
840.000000 0.463401
845.000000 0.461974
850.000000 0.458848
855.000000 0.453659
860.000000 0.449214
865.000000 0.448943
870.000000 0.448335
875.000000 0.442703
880.000000 0.434734
885.000000 0.429164
890.000000 0.424367
895.000000 0.418168
900.000000 0.411550
905.000000 0.404399
910.000000 0.397381
915.000000 0.389392
920.000000 0.385056
925.000000 0.382089
930.000000 0.376266
935.000000 0.370352
940.000000 0.361230
945.000000 0.350849
950.000000 0.345536
955.000000 0.342125
960.000000 0.337328
965.000000 0.331288
970.000000 0.324079
975.000000 0.322941
980.000000 0.320883
985.000000 0.309627
990.000000 0.300725
995.000000 0.295020
1000.000000 0.288227
1005.000000 0.281099
1010.000000 0.274766
1015.000000 0.266585
1020.000000 0.261575
1025.000000 0.258190
1030.000000 0.250211
1035.000000 0.242329
1040.000000 0.236844
1045.000000 0.231476
1050.000000 0.229869
1055.000000 0.231391
1060.000000 0.230413
1065.000000 0.225191
1070.000000 0.223584
1075.000000 0.221873
1080.000000 0.215671
1085.000000 0.209259
1090.000000 0.199920
1095.000000 0.193494
1100.000000 0.191382
